MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2016 / 05,04,4236.9,306.3,326.0
2016 / 06,09,4526.3,480.4,549.5
2016 / 07,06,2822.5,427.1,339.6
2016 / 08,03,5237.7,375.7,448.9
2016 / 09,10,3520.7,396.4,460.4
2016 / 09,14,3188.2,256.8,251.8
2016 / 09,02,2940.0,417.2,347.5
2016 / 11,02,2941.1,436.8,343.5
2016 / 11,06,2803.3,437.2,323.6
2016 / 12,14,2883.8,327.1,269.0
2017 / 03,12,5669.2,428.8,687.9
2017 / 03,14,2705.5,228.9,223.8
2017 / 04,14,2909.8,234.2,255.1
2017 / 04,10,3382.6,378.6,463.2
2017 / 05,03,5224.2,390.6,478.7
2017 / 05,12,7426.6,505.4,824.3
2017 / 05,07,7215.0,830.5,712.2
2017 / 05,14,3326.5,242.2,253.3
2017 / 05,09,4467.7,464.8,538.8
2017 / 06,02,3213.3,428.1,372.8
2017 / 07,12,7427.4,508.6,859.3
2017 / 07,01,4012.1,585.3,583.0
2017 / 07,10,3851.0,404.0,510.1
2017 / 08,08,3805.1,461.0,412.8
2017 / 08,05,4827.9,597.6,758.9
2017 / 08,03,5168.9,365.9,499.4
2017 / 09,08,3650.6,456.4,403.3
2017 / 09,04,3940.2,334.6,393.2
2017 / 09,05,4591.2,585.7,725.9
2017 / 09,13,5519.1,476.0,759.1
2017 / 10,13,5285.5,433.0,697.6
2017 / 11,02,2942.8,429.6,367.0
2017 / 12,12,6009.9,531.7,791.5
2017 / 12,01,3670.8,641.7,580.4
2017 / 12,03,4525.5,430.8,489.5
2017 / 12,13,4796.0,527.9,712.9
2017 / 12,08,3192.0,503.9,396.6
2018 / 01,07,5837.1,842.7,710.1
2018 / 04,12,6282.1,445.6,743.9
2018 / 04,03,4591.0,348.7,422.4
2018 / 05,09,4334.9,434.7,533.7
2018 / 06,10,4006.4,407.0,536.7
2018 / 06,12,7569.2,531.3,878.3
2018 / 06,01,4077.4,625.3,618.5
2018 / 06,03,5210.6,404.1,503.6
2018 / 08,01,4084.0,610.6,603.4
2018 / 09,06,2770.7,423.4,349.5
2018 / 09,07,6326.9,814.5,690.1
2018 / 10,04,4238.9,338.7,406.8
2018 / 10,05,5090.4,635.5,724.5
2018 / 10,06,2948.0,424.6,363.4
2018 / 10,13,5292.3,488.4,771.7
2018 / 11,05,5040.9,667.6,734.4
2019 / 02,03,4046.6,315.3,403.0
2019 / 03,01,3569.3,563.8,592.1
2019 / 03,03,4415.2,349.2,438.5
2019 / 04,01,3989.5,587.5,636.5
2019 / 05,07,6925.1,800.0,746.0
2019 / 05,04,4252.6,344.3,427.0
2019 / 07,05,5035.1,618.6,748.0
2019 / 08,04,4164.5,344.3,449.8
2019 / 09,01,3790.5,555.5,585.4
2019 / 09,13,5206.3,460.5,756.4
2019 / 10,12,6379.9,439.2,788.7
2019 / 10,01,3785.6,580.8,595.0
2019 / 10,03,4640.8,355.6,458.5
2019 / 12,12,6798.7,552.4,933.7
2019 / 12,03,4953.0,426.6,496.4
2019 / 12,06,2886.2,468.3,374.0
2020 / 01,02,2927.0,461.1,438.2
2020 / 01,01,3935.7,662.1,696.1
2020 / 02,14,2367.0,212.7,234.0
2020 / 03,04,3948.8,315.7,428.0
2020 / 03,11,2685.3,459.8,468.4
2020 / 04,01,3888.5,607.4,768.9
2020 / 04,03,4465.5,335.6,567.5
2020 / 05,13,6563.7,474.0,1065.8
2020 / 06,04,4630.9,402.8,573.4
2020 / 07,09,4904.7,517.0,770.5
2020 / 08,06,3180.1,421.7,424.6
2020 / 09,13,6561.8,520.0,985.4
2020 / 11,07,7212.0,760.5,760.6
2020 / 11,01,4221.7,641.8,657.0
2020 / 11,04,4148.6,335.9,546.4
2020 / 12,05,5191.7,794.5,918.7
2020 / 12,07,6902.1,949.7,896.9
2021 / 01,11,2700.7,478.2,463.9
2021 / 01,08,3487.0,477.6,433.2
2021 / 01,06,2685.3,439.5,428.7
2021 / 02,08,2949.3,383.2,358.1
2021 / 02,07,5389.6,665.2,659.7
2021 / 02,02,2648.2,392.1,386.2
2021 / 03,13,5640.0,455.7,950.8
2021 / 03,01,4285.6,669.3,714.4
2021 / 04,11,3190.4,453.3,472.9
2021 / 05,12,7684.0,524.8,953.1
2021 / 07,10,4564.7,406.1,615.9
2021 / 08,04,4350.3,326.8,636.6
2021 / 09,14,3369.7,266.0,288.2
2021 / 10,01,4324.3,613.6,601.4
2021 / 10,02,3483.4,458.0,394.4
2021 / 11,04,4419.6,310.5,457.9
2021 / 11,05,5343.6,568.0,624.1
2022 / 01,03,4177.3,354.8,485.1
2022 / 01,11,2452.5,433.5,406.1
2022 / 02,07,5910.2,699.6,695.1
2022 / 04,02,3051.3,411.0,396.9
2022 / 04,01,3882.6,566.9,572.5
2022 / 04,13,5267.9,420.5,785.7
2022 / 04,09,3967.5,409.9,513.3
2022 / 05,01,4128.6,567.1,566.9
2022 / 05,05,5065.0,561.3,660.6
2022 / 06,07,7296.4,767.8,798.1
2022 / 07,07,6828.8,745.5,769.7
2022 / 08,11,3093.1,404.9,446.7
2022 / 08,04,4155.7,318.7,508.1
2022 / 09,12,7017.4,469.4,886.1
2022 / 09,03,4742.5,363.3,502.1
2022 / 10,12,6567.3,459.7,857.2
2022 / 10,07,6546.8,742.2,746.9
2022 / 10,04,4007.4,306.9,445.8
2022 / 10,11,2966.5,437.2,419.2
2022 / 11,03,4713.3,327.4,449.2
2022 / 12,11,2865.7,497.0,438.1
2022 / 12,14,2980.9,302.0,272.3
